case_id,decline_reason,payment_method,amount,retry_attempt_number,previous_retries_on_this_case,days_since_last_failure,day_of_month,hour_of_day,is_salary_window,customer_historical_success_rate,customer_tenure_days,is_subscription,recovered
case_0801,insufficient_funds,netbanking,589.53,4,3,8,21,5,False,0.5481,889,True,False
case_0802,insufficient_funds,card,2755.53,4,3,1,31,14,True,0.5929,1170,True,True
case_0803,insufficient_funds,card,970.67,1,0,5,13,5,False,0.9466,505,True,True
case_0804,generic_decline,card,862.5,4,3,4,31,6,True,0.3216,848,True,False
case_0805,generic_decline,upi,3566.22,1,0,7,22,4,False,0.8175,137,True,True
case_0806,insufficient_funds,card,982.91,4,3,6,18,9,False,0.9495,412,True,False
case_0807,insufficient_funds,upi,1195.88,3,2,1,14,7,False,0.7225,1032,True,True
case_0808,insufficient_funds,upi,545.55,4,3,5,30,8,True,0.9446,598,True,True
case_0809,insufficient_funds,card,2339.59,3,2,9,10,16,False,0.9153,840,True,True
case_0810,generic_decline,upi,1046.91,1,0,1,8,21,False,0.523,73,True,True
case_0811,expired_card,card,572.37,2,1,7,8,23,False,0.7851,296,True,False
case_0812,insufficient_funds,upi,503.29,1,0,0,26,13,False,0.3186,824,True,False
case_0813,insufficient_funds,netbanking,344.66,4,3,7,11,11,False,0.8719,392,True,False
case_0814,generic_decline,upi,1143.79,2,1,6,21,11,False,0.7375,1278,True,True
case_0815,expired_card,card,2171.59,4,3,0,7,22,False,0.695,320,True,False
case_0816,insufficient_funds,upi,621.23,1,0,2,11,15,False,0.7816,199,True,False
case_0817,auth_required,card,1434.98,4,3,3,5,23,False,0.152,915,True,False
case_0818,insufficient_funds,upi,481.21,4,3,2,14,5,False,0.6969,511,False,False
case_0819,insufficient_funds,card,1604.23,1,0,2,19,0,False,0.8133,41,False,False
case_0820,expired_card,card,1742.98,3,2,1,5,5,False,0.9346,1370,True,False
case_0821,generic_decline,card,185.38,2,1,9,14,18,False,0.1925,49,True,False
case_0822,insufficient_funds,upi,6914.76,1,0,6,2,10,True,0.9682,1279,True,True
case_0823,insufficient_funds,upi,311.02,1,0,6,12,10,False,0.8764,710,True,True
case_0824,insufficient_funds,netbanking,2197.68,4,3,1,30,21,True,0.6041,220,True,True
case_0825,bank_timeout,upi,1216.84,2,1,5,3,19,True,0.8156,1362,True,True
case_0826,insufficient_funds,card,1081.39,1,0,1,31,22,True,0.8746,793,True,True
case_0827,insufficient_funds,netbanking,569.47,1,0,10,28,18,True,0.379,540,True,True
case_0828,generic_decline,card,629.38,1,0,2,25,10,False,0.1036,1038,True,True
case_0829,insufficient_funds,upi,5951.05,2,1,4,3,5,True,0.9443,881,True,True
case_0830,insufficient_funds,card,975.58,1,0,9,23,11,False,0.8866,924,True,False
case_0831,insufficient_funds,upi,215.66,1,0,2,23,1,False,0.9048,860,False,False
case_0832,insufficient_funds,netbanking,587.98,1,0,5,14,0,False,0.7724,195,True,True
case_0833,insufficient_funds,upi,2258.78,3,2,4,7,7,False,0.875,593,True,True
case_0834,insufficient_funds,upi,3715.68,4,3,10,11,5,False,0.9313,578,True,True
case_0835,insufficient_funds,upi,759.16,1,0,3,31,6,True,0.7987,976,True,True
case_0836,insufficient_funds,upi,923.5,1,0,5,19,20,False,0.1904,1001,True,False
case_0837,expired_card,card,1440.39,2,1,7,29,19,True,0.1656,294,True,False
case_0838,insufficient_funds,upi,1697.03,1,0,9,18,15,False,0.7103,1323,True,False
case_0839,insufficient_funds,upi,2040.54,2,1,3,14,12,False,0.9259,60,True,False
case_0840,insufficient_funds,netbanking,434.47,1,0,10,18,12,False,0.8807,584,True,True
case_0841,insufficient_funds,netbanking,396.74,1,0,6,1,17,True,0.8627,71,True,True
case_0842,insufficient_funds,upi,678.54,2,1,2,3,15,True,0.1605,189,True,False
case_0843,insufficient_funds,card,290.51,2,1,10,23,12,False,0.8579,535,True,True
case_0844,insufficient_funds,card,947.22,2,1,7,2,1,True,0.794,1373,True,True
case_0845,insufficient_funds,card,671.44,1,0,0,8,6,False,0.4242,337,True,False
case_0846,bank_timeout,netbanking,1066.35,1,0,5,13,16,False,0.7804,534,True,True
case_0847,insufficient_funds,netbanking,433.71,1,0,1,13,1,False,0.9127,612,False,True
case_0848,auth_required,card,230.28,1,0,10,19,7,False,0.5551,796,True,False
case_0849,generic_decline,netbanking,269.47,3,2,10,3,7,True,0.8229,562,False,True
case_0850,bank_timeout,upi,1043.88,1,0,3,7,20,False,0.4491,610,True,False
case_0851,insufficient_funds,netbanking,3065.57,1,0,10,31,23,True,0.5858,177,True,True
case_0852,generic_decline,upi,313.99,1,0,9,3,15,True,0.6867,845,True,True
case_0853,bank_timeout,card,2464.68,2,1,3,1,8,True,0.7904,1145,False,True
case_0854,auth_required,card,332.78,1,0,9,15,11,False,0.7699,1310,True,True
case_0855,insufficient_funds,upi,581.01,3,2,7,18,21,False,0.744,1394,True,True
case_0856,auth_required,card,4415.71,2,1,8,27,20,False,0.7,1027,True,False
case_0857,insufficient_funds,upi,3571.08,2,1,5,4,15,False,0.887,218,True,True
case_0858,generic_decline,card,531.78,2,1,8,16,3,False,0.7693,429,True,True
case_0859,insufficient_funds,upi,1363.58,3,2,1,9,2,False,0.6152,768,True,True
case_0860,insufficient_funds,card,1336.42,1,0,7,16,1,False,0.5518,1411,True,False
case_0861,generic_decline,netbanking,166.88,3,2,1,9,15,False,0.5134,932,True,False
case_0862,insufficient_funds,upi,4362.75,2,1,7,20,6,False,0.8529,1428,True,False
case_0863,generic_decline,upi,2002.21,1,0,7,28,9,True,0.9015,158,True,True
case_0864,generic_decline,card,1865.58,4,3,6,10,1,False,0.768,238,True,True
case_0865,expired_card,card,405.06,2,1,0,17,22,False,0.2123,894,True,False
case_0866,insufficient_funds,netbanking,1244.15,1,0,6,30,16,True,0.6135,1142,True,True
case_0867,insufficient_funds,upi,488.39,1,0,2,23,23,False,0.9746,545,True,True
case_0868,insufficient_funds,netbanking,706.55,3,2,3,22,6,False,0.8165,1109,False,True
case_0869,auth_required,card,960.77,4,3,1,6,18,False,0.8688,538,True,False
case_0870,insufficient_funds,upi,322.62,1,0,5,15,12,False,0.947,1044,False,True
case_0871,insufficient_funds,upi,624.48,1,0,0,3,13,True,0.8856,1332,False,False
case_0872,bank_timeout,upi,4052.11,1,0,7,16,16,False,0.787,1240,True,False
case_0873,insufficient_funds,card,2688.68,2,1,1,21,8,False,0.7206,664,False,False
case_0874,insufficient_funds,card,755.88,2,1,6,9,8,False,0.7655,1410,True,False
case_0875,bank_timeout,upi,1278.19,1,0,4,8,20,False,0.923,1018,True,True
case_0876,expired_card,card,288.7,1,0,4,3,19,True,0.8025,408,True,False
case_0877,bank_timeout,upi,436.99,1,0,1,25,11,False,0.7338,550,True,True
case_0878,insufficient_funds,upi,1211.97,2,1,0,4,0,False,0.8259,1267,True,False
case_0879,insufficient_funds,upi,2921.39,3,2,2,7,12,False,0.9212,833,True,True
case_0880,insufficient_funds,upi,1065.66,1,0,3,10,21,False,0.868,168,True,True
case_0881,expired_card,card,898.61,3,2,3,16,21,False,0.9823,795,False,False
case_0882,generic_decline,card,739.32,2,1,6,26,5,False,0.8116,473,True,False
case_0883,generic_decline,card,734.38,2,1,0,19,12,False,0.6366,184,True,False
case_0884,expired_card,card,691.81,1,0,3,21,18,False,0.9601,99,True,True
case_0885,insufficient_funds,card,1271.3,4,3,7,10,4,False,0.8843,342,True,True
case_0886,insufficient_funds,card,1005.42,3,2,2,18,9,False,0.9708,1235,True,True
case_0887,auth_required,card,1831.71,3,2,2,18,4,False,0.4779,1034,False,False
case_0888,insufficient_funds,card,1817.68,1,0,9,19,11,False,0.6667,332,True,False
case_0889,insufficient_funds,upi,188.09,2,1,6,18,17,False,0.8144,1241,True,False
case_0890,insufficient_funds,netbanking,1330.43,1,0,7,26,4,False,0.6409,442,True,False
case_0891,auth_required,netbanking,892.17,1,0,3,1,4,True,0.2358,268,True,True
case_0892,expired_card,card,244.09,1,0,0,15,11,False,0.6975,1050,True,True
case_0893,auth_required,card,614.03,2,1,0,5,3,False,0.7857,761,True,False
case_0894,insufficient_funds,card,1765.93,1,0,0,19,16,False,0.612,1160,True,False
case_0895,auth_required,card,648.8,2,1,2,25,4,False,0.0925,621,True,True
case_0896,insufficient_funds,card,216.42,3,2,6,19,17,False,0.7514,136,True,False
case_0897,bank_timeout,upi,404.4,1,0,5,31,15,True,0.1699,1294,True,True
case_0898,auth_required,card,213.09,2,1,9,8,7,False,0.946,528,True,True
case_0899,generic_decline,netbanking,911.86,4,3,8,12,16,False,0.8364,1277,True,False
case_0900,insufficient_funds,netbanking,6332.59,1,0,6,14,4,False,0.8107,1008,False,True
