case_id,decline_reason,payment_method,amount,retry_attempt_number,previous_retries_on_this_case,days_since_last_failure,day_of_month,hour_of_day,is_salary_window,customer_historical_success_rate,customer_tenure_days,is_subscription,recovered
case_0001,bank_timeout,upi,812.26,2,1,10,29,23,True,0.9349,1233,True,True
case_0002,bank_timeout,upi,1688.82,2,1,0,23,5,False,0.7809,705,True,False
case_0003,bank_timeout,card,393.77,3,2,9,19,11,False,0.4566,477,False,True
case_0004,auth_required,card,1975.17,1,0,10,23,8,False,0.4328,335,True,True
case_0005,generic_decline,upi,449.18,1,0,0,13,10,False,0.6261,1317,True,True
case_0006,bank_timeout,upi,3549.44,2,1,9,12,12,False,0.4749,131,True,True
case_0007,insufficient_funds,upi,3200.97,1,0,8,25,8,False,0.6866,1474,True,True
case_0008,expired_card,card,555.03,1,0,10,20,16,False,0.757,744,False,False
case_0009,insufficient_funds,netbanking,1286.79,2,1,1,25,17,False,0.9147,1243,True,True
case_0010,generic_decline,upi,792.65,1,0,10,12,20,False,0.8795,1205,True,True
case_0011,generic_decline,upi,1104.67,1,0,8,9,7,False,0.7222,834,True,True
case_0012,insufficient_funds,upi,985.79,2,1,10,21,20,False,0.8787,865,True,True
case_0013,insufficient_funds,card,1155.59,2,1,8,3,0,True,0.2668,777,True,True
case_0014,generic_decline,upi,651.12,2,1,8,23,21,False,0.9209,125,True,True
case_0015,bank_timeout,card,3160.08,1,0,2,20,2,False,0.8287,168,True,True
case_0016,expired_card,card,6086.89,2,1,3,13,8,False,0.4836,20,True,False
case_0017,insufficient_funds,upi,735.32,3,2,3,10,11,False,0.8081,1340,True,False
case_0018,expired_card,card,7219.6,3,2,4,29,3,True,0.7439,417,True,False
case_0019,insufficient_funds,netbanking,3017.15,3,2,0,11,0,False,0.6902,876,True,True
case_0020,generic_decline,upi,1340.18,1,0,5,18,18,False,0.3675,82,False,True
case_0021,insufficient_funds,card,1783.18,2,1,2,28,7,True,0.8632,681,True,True
case_0022,generic_decline,upi,487.07,1,0,1,28,12,True,0.5848,457,True,True
case_0023,auth_required,netbanking,710.11,1,0,8,31,10,True,0.961,708,True,True
case_0024,bank_timeout,upi,3189.33,2,1,4,23,1,False,0.6945,1374,True,True
case_0025,expired_card,card,705.98,4,3,8,22,9,False,0.905,777,True,False
case_0026,insufficient_funds,upi,603.49,1,0,4,14,6,False,0.8188,1047,True,False
case_0027,insufficient_funds,upi,252.6,1,0,3,10,21,False,0.8201,150,True,False
case_0028,generic_decline,upi,793.52,1,0,2,23,20,False,0.9419,361,False,False
case_0029,bank_timeout,card,1271.77,2,1,8,20,17,False,0.6702,874,False,True
case_0030,generic_decline,card,1252.11,1,0,3,9,20,False,0.8626,586,True,True
case_0031,insufficient_funds,upi,611.23,1,0,6,11,13,False,0.7932,1197,False,True
case_0032,bank_timeout,upi,1270.97,4,3,4,28,12,True,0.3855,452,True,True
case_0033,insufficient_funds,card,1380.65,3,2,2,18,19,False,0.9609,278,False,True
case_0034,insufficient_funds,upi,226.12,1,0,6,25,8,False,0.2235,107,False,True
case_0035,generic_decline,card,951.95,1,0,0,5,19,False,0.8628,1241,True,False
case_0036,auth_required,netbanking,100.0,1,0,0,19,9,False,0.7397,209,True,True
case_0037,auth_required,netbanking,707.26,2,1,10,3,11,True,0.5399,892,True,False
case_0038,bank_timeout,card,808.42,3,2,7,27,13,False,0.742,777,True,True
case_0039,bank_timeout,upi,864.16,2,1,4,1,17,True,0.7448,493,True,True
case_0040,generic_decline,upi,1859.33,1,0,3,22,9,False,0.8016,678,True,False
case_0041,insufficient_funds,card,495.82,4,3,2,7,6,False,0.5793,206,False,True
case_0042,insufficient_funds,card,3495.77,1,0,0,18,1,False,0.9836,981,True,True
case_0043,expired_card,card,1337.68,1,0,10,2,21,True,0.9538,1143,True,False
case_0044,insufficient_funds,upi,395.9,2,1,7,28,9,True,0.9404,204,False,True
case_0045,bank_timeout,upi,1057.61,1,0,7,20,22,False,0.7006,146,True,False
case_0046,bank_timeout,netbanking,1231.0,4,3,6,18,3,False,0.4988,1166,False,True
case_0047,insufficient_funds,upi,767.96,1,0,9,29,1,True,0.9148,1179,True,True
case_0048,auth_required,card,2726.1,3,2,2,17,15,False,0.797,713,True,True
case_0049,insufficient_funds,upi,238.38,1,0,8,15,1,False,0.5611,3,True,True
case_0050,insufficient_funds,upi,932.4,3,2,10,25,14,False,0.8169,993,True,False
case_0051,insufficient_funds,upi,303.93,1,0,1,31,14,True,0.7615,560,True,True
case_0052,insufficient_funds,upi,627.49,1,0,9,24,16,False,0.3117,612,False,True
case_0053,auth_required,card,401.33,3,2,6,30,14,True,0.664,842,True,False
case_0054,auth_required,card,972.12,2,1,10,16,4,False,0.1187,902,True,True
case_0055,insufficient_funds,netbanking,1272.39,3,2,4,20,10,False,0.6016,779,False,False
case_0056,bank_timeout,netbanking,839.99,2,1,3,22,20,False,0.1951,909,True,False
case_0057,insufficient_funds,upi,491.87,1,0,6,22,18,False,0.8139,294,True,True
case_0058,bank_timeout,card,1885.43,2,1,4,18,21,False,0.7278,869,True,True
case_0059,mandate_revoked,upi,1792.37,1,0,4,10,22,False,0.9887,101,False,False
case_0060,expired_card,card,1552.8,1,0,5,21,7,False,0.5645,281,True,False
case_0061,insufficient_funds,upi,249.03,1,0,4,24,10,False,0.7038,337,True,False
case_0062,auth_required,netbanking,445.61,1,0,1,31,14,True,0.7573,814,False,False
case_0063,generic_decline,upi,341.99,2,1,10,19,8,False,0.7289,1269,False,False
case_0064,insufficient_funds,upi,716.38,3,2,4,14,20,False,0.7661,1427,False,True
case_0065,insufficient_funds,upi,2096.25,1,0,4,23,1,False,0.6769,1321,True,True
case_0066,insufficient_funds,card,1649.31,2,1,10,21,6,False,0.5364,1201,True,False
case_0067,insufficient_funds,netbanking,5320.16,1,0,2,9,17,False,0.8533,488,True,True
case_0068,insufficient_funds,upi,926.77,1,0,1,15,15,False,0.7788,89,True,False
case_0069,insufficient_funds,card,15000.0,3,2,6,4,21,False,0.892,1297,True,False
case_0070,bank_timeout,upi,1692.69,2,1,6,26,3,False,0.74,441,True,False
case_0071,auth_required,card,812.78,1,0,4,31,11,True,0.4474,1202,False,False
case_0072,insufficient_funds,netbanking,414.56,4,3,6,2,23,True,0.2772,1345,True,False
case_0073,bank_timeout,upi,800.26,1,0,8,20,19,False,0.7188,60,True,False
case_0074,insufficient_funds,upi,1692.77,3,2,9,13,21,False,0.9462,771,True,True
case_0075,generic_decline,card,635.52,1,0,2,2,19,True,0.7336,560,True,False
case_0076,insufficient_funds,card,767.95,2,1,8,10,21,False,0.9809,433,True,False
case_0077,insufficient_funds,upi,584.55,2,1,3,18,16,False,0.4961,856,True,True
case_0078,insufficient_funds,netbanking,1096.4,2,1,5,14,2,False,0.7074,636,True,True
case_0079,insufficient_funds,card,502.69,3,2,5,31,23,True,0.9359,1234,True,False
case_0080,mandate_revoked,upi,801.97,2,1,9,15,18,False,0.8755,1294,True,False
case_0081,bank_timeout,upi,669.09,3,2,1,28,20,True,0.0919,85,True,False
case_0082,insufficient_funds,upi,984.03,1,0,0,4,14,False,0.9562,81,True,True
case_0083,bank_timeout,upi,538.11,1,0,5,20,21,False,0.8595,792,True,True
case_0084,expired_card,card,1519.21,1,0,9,5,21,False,0.1464,1452,False,False
case_0085,generic_decline,card,397.93,2,1,10,3,16,True,0.8165,439,True,False
case_0086,mandate_revoked,upi,203.82,1,0,1,25,16,False,0.7601,1266,True,False
case_0087,auth_required,netbanking,1092.58,1,0,6,22,11,False,0.9043,961,False,True
case_0088,bank_timeout,upi,542.06,3,2,6,17,16,False,0.6345,107,True,False
case_0089,insufficient_funds,card,1390.94,3,2,4,29,14,True,0.6726,850,True,True
case_0090,mandate_revoked,upi,496.06,1,0,1,21,22,False,0.4608,961,True,True
case_0091,insufficient_funds,card,225.19,2,1,1,8,9,False,0.4119,228,False,True
case_0092,bank_timeout,netbanking,579.45,2,1,4,1,13,True,0.6317,739,True,True
case_0093,mandate_revoked,upi,410.18,2,1,5,24,8,False,0.7379,1192,True,False
case_0094,bank_timeout,netbanking,1710.16,1,0,10,23,14,False,0.575,76,True,True
case_0095,insufficient_funds,netbanking,100.0,2,1,4,25,1,False,0.9386,560,True,True
case_0096,generic_decline,netbanking,691.47,1,0,2,23,15,False,0.9551,370,True,True
case_0097,bank_timeout,upi,420.71,2,1,5,2,14,True,0.8861,118,True,True
case_0098,auth_required,card,507.72,4,3,2,22,19,False,0.8673,1240,True,False
case_0099,insufficient_funds,upi,1568.9,1,0,4,31,7,True,0.8584,537,True,True
case_0100,bank_timeout,netbanking,1728.67,4,3,3,5,3,False,0.2417,1397,False,False
case_0101,generic_decline,card,741.96,1,0,10,26,5,False,0.7155,1173,True,False
case_0102,bank_timeout,upi,1873.87,1,0,7,14,16,False,0.8276,1130,True,True
case_0103,insufficient_funds,netbanking,1388.01,1,0,2,11,5,False,0.1378,162,True,False
case_0104,insufficient_funds,upi,1051.65,2,1,8,6,20,False,0.7407,692,False,False
case_0105,insufficient_funds,upi,426.68,2,1,9,20,13,False,0.8543,990,True,False
case_0106,insufficient_funds,card,359.17,1,0,6,15,15,False,0.6968,708,False,True
case_0107,bank_timeout,upi,448.36,1,0,1,10,1,False,0.3694,327,True,True
case_0108,insufficient_funds,upi,1041.57,4,3,8,31,14,True,0.8685,1340,True,False
case_0109,insufficient_funds,upi,830.48,1,0,0,2,12,True,0.9107,1127,True,False
case_0110,insufficient_funds,netbanking,2111.88,1,0,5,31,17,True,0.729,80,True,True
case_0111,insufficient_funds,card,403.99,2,1,2,20,12,False,0.527,1452,True,False
case_0112,insufficient_funds,upi,830.43,1,0,4,28,23,True,0.3863,1478,True,True
case_0113,generic_decline,card,265.17,1,0,9,4,22,False,0.8006,1028,True,False
case_0114,generic_decline,upi,2814.6,1,0,3,11,17,False,0.2335,1385,True,False
case_0115,generic_decline,card,1141.73,2,1,3,25,9,False,0.7898,1478,True,True
case_0116,insufficient_funds,netbanking,1691.02,3,2,2,2,9,True,0.8376,982,True,False
case_0117,bank_timeout,upi,2819.33,1,0,0,29,21,True,0.8337,206,True,True
case_0118,mandate_revoked,upi,2292.23,2,1,7,21,15,False,0.9404,1096,True,False
case_0119,expired_card,card,2690.17,1,0,6,6,15,False,0.2822,1033,True,False
case_0120,insufficient_funds,upi,150.19,1,0,2,24,0,False,0.8625,1309,False,False
case_0121,insufficient_funds,card,1093.78,1,0,3,9,0,False,0.8325,1174,True,True
case_0122,insufficient_funds,upi,1414.38,1,0,6,17,21,False,0.4636,605,True,True
case_0123,insufficient_funds,upi,2139.66,2,1,7,26,17,False,0.5622,168,True,True
case_0124,expired_card,card,844.71,3,2,8,19,6,False,0.7185,1469,True,False
case_0125,auth_required,card,333.33,1,0,7,26,21,False,0.5144,124,False,True
case_0126,insufficient_funds,upi,826.61,3,2,10,21,23,False,0.2087,774,True,False
case_0127,bank_timeout,netbanking,648.54,2,1,8,24,4,False,0.3902,777,False,True
case_0128,insufficient_funds,netbanking,1423.91,2,1,1,26,1,False,0.9479,915,True,False
case_0129,generic_decline,upi,955.17,3,2,0,17,4,False,0.1329,1378,False,False
case_0130,mandate_revoked,upi,1680.61,1,0,4,18,1,False,0.4737,1016,True,False
case_0131,insufficient_funds,upi,661.72,1,0,2,16,17,False,0.8741,119,True,False
case_0132,insufficient_funds,upi,376.16,1,0,10,30,2,True,0.8016,81,False,True
case_0133,generic_decline,card,148.26,1,0,0,30,6,True,0.7104,1425,True,True
case_0134,bank_timeout,netbanking,1135.11,1,0,8,12,20,False,0.7634,1480,True,False
case_0135,insufficient_funds,upi,498.68,1,0,4,30,17,True,0.9112,1167,False,True
case_0136,generic_decline,upi,703.68,3,2,10,16,23,False,0.9296,377,False,False
case_0137,insufficient_funds,upi,3096.97,2,1,0,5,13,False,0.974,765,True,True
case_0138,expired_card,card,151.29,1,0,8,14,17,False,0.6074,368,True,True
case_0139,insufficient_funds,upi,1191.3,1,0,5,15,12,False,0.7503,65,True,True
case_0140,insufficient_funds,upi,468.2,1,0,7,21,13,False,0.9325,88,True,False
case_0141,bank_timeout,upi,3024.91,1,0,8,22,18,False,0.858,333,True,True
case_0142,bank_timeout,netbanking,479.63,1,0,2,24,22,False,0.9445,156,True,True
case_0143,insufficient_funds,card,1820.31,4,3,7,12,7,False,0.7133,1267,True,True
case_0144,insufficient_funds,upi,1025.67,3,2,2,13,23,False,0.8325,384,True,True
case_0145,insufficient_funds,upi,286.14,3,2,6,10,0,False,0.8122,498,True,True
case_0146,insufficient_funds,upi,598.62,2,1,1,14,5,False,0.7936,1477,True,False
